[12:41:55.998] Namespace(root_path='../data/ACDC', volume_path='../data/ACDC/test', n_skip=1, z_spacing=10, dataset='ACDC', list_dir='./lists/lists_ACDC', num_classes=4, output_dir='./model_out_acdc', max_iterations=30000, max_epochs=150, batch_size=24, n_gpu=1, deterministic=1, base_lr=0.0001, img_size=224, seed=1234, cfg='configs/swin_tiny_patch4_window7_224_lite.yaml', opts=None, zip=False, cache_mode='part', resume=None, accumulation_steps=None, use_checkpoint=False, amp_opt_level='O1', tag=None, eval=False, throughput=False)
[12:41:56.005] 55 iterations per epoch. 8250 max iterations 
[12:42:00.184] iteration 1 : loss : 1.250152, lr_: 0.000100
[12:42:06.389] iteration 30 : loss : 0.484016, lr_: 0.000100
[12:42:06.601] iteration 31 : loss : 0.460193, lr_: 0.000100
[12:42:06.810] iteration 32 : loss : 0.477600, lr_: 0.000100
[12:42:07.020] iteration 33 : loss : 0.464631, lr_: 0.000100
[12:42:07.229] iteration 34 : loss : 0.464936, lr_: 0.000100
[12:42:07.438] iteration 35 : loss : 0.497598, lr_: 0.000100
[12:42:07.649] iteration 36 : loss : 0.464193, lr_: 0.000100
[12:42:07.858] iteration 37 : loss : 0.463170, lr_: 0.000100
[12:42:08.069] iteration 38 : loss : 0.457810, lr_: 0.000100
[12:42:08.278] iteration 39 : loss : 0.483376, lr_: 0.000100
[12:42:08.487] iteration 40 : loss : 0.469605, lr_: 0.000100
[12:42:08.728] iteration 41 : loss : 0.470257, lr_: 0.000100
[12:42:08.937] iteration 42 : loss : 0.472720, lr_: 0.000100
[12:42:09.146] iteration 43 : loss : 0.457900, lr_: 0.000100
[12:42:09.356] iteration 44 : loss : 0.462699, lr_: 0.000100
[12:42:09.565] iteration 45 : loss : 0.442185, lr_: 0.000100
[12:42:09.774] iteration 46 : loss : 0.466938, lr_: 0.000100
[12:42:09.984] iteration 47 : loss : 0.484900, lr_: 0.000099
[12:42:10.193] iteration 48 : loss : 0.448273, lr_: 0.000099
[12:42:10.402] iteration 49 : loss : 0.454739, lr_: 0.000099
[12:42:10.611] iteration 50 : loss : 0.478522, lr_: 0.000099
[12:42:10.821] iteration 51 : loss : 0.454673, lr_: 0.000099
[12:42:11.030] iteration 52 : loss : 0.459628, lr_: 0.000099
[12:42:11.239] iteration 53 : loss : 0.438581, lr_: 0.000099
[12:42:11.449] iteration 54 : loss : 0.442314, lr_: 0.000099
[12:42:11.589] iteration 55 : loss : 0.416593, lr_: 0.000099
[12:42:11.624] 
Validation ===>
[12:42:17.731] avg_dsc: 0.000000
[12:42:18.389] iteration 56 : loss : 0.449610, lr_: 0.000099
[12:42:18.620] iteration 57 : loss : 0.437814, lr_: 0.000099
[12:42:18.827] iteration 58 : loss : 0.451060, lr_: 0.000099
[12:42:19.034] iteration 59 : loss : 0.430159, lr_: 0.000099
[12:42:19.241] iteration 60 : loss : 0.412252, lr_: 0.000099
[12:42:19.482] iteration 61 : loss : 0.419714, lr_: 0.000099
[12:42:19.689] iteration 62 : loss : 0.415983, lr_: 0.000099
[12:42:19.897] iteration 63 : loss : 0.419346, lr_: 0.000099
[12:42:20.104] iteration 64 : loss : 0.420145, lr_: 0.000099
[12:42:20.310] iteration 65 : loss : 0.426295, lr_: 0.000099
[12:42:20.518] iteration 66 : loss : 0.412818, lr_: 0.000099
[12:42:20.725] iteration 67 : loss : 0.387315, lr_: 0.000099
[12:42:20.932] iteration 68 : loss : 0.390723, lr_: 0.000099
[12:42:21.140] iteration 69 : loss : 0.360378, lr_: 0.000099
[12:42:21.348] iteration 70 : loss : 0.343995, lr_: 0.000099
[12:42:21.555] iteration 71 : loss : 0.347105, lr_: 0.000099
[12:42:21.762] iteration 72 : loss : 0.331183, lr_: 0.000099
[12:42:21.970] iteration 73 : loss : 0.366736, lr_: 0.000099
[12:42:22.177] iteration 74 : loss : 0.324034, lr_: 0.000099
[12:42:22.385] iteration 75 : loss : 0.320663, lr_: 0.000099
[12:42:22.593] iteration 76 : loss : 0.316850, lr_: 0.000099
[12:42:22.802] iteration 77 : loss : 0.310543, lr_: 0.000099
[12:42:23.010] iteration 78 : loss : 0.322635, lr_: 0.000099
[12:42:23.218] iteration 79 : loss : 0.315740, lr_: 0.000099
[12:42:23.425] iteration 80 : loss : 0.287733, lr_: 0.000099
[12:42:23.670] iteration 81 : loss : 0.288642, lr_: 0.000099
[12:42:23.879] iteration 82 : loss : 0.287591, lr_: 0.000099
[12:42:24.087] iteration 83 : loss : 0.285653, lr_: 0.000099
[12:42:24.294] iteration 84 : loss : 0.282149, lr_: 0.000099
[12:42:24.501] iteration 85 : loss : 0.276685, lr_: 0.000099
[12:42:24.709] iteration 86 : loss : 0.273097, lr_: 0.000099
[12:42:24.919] iteration 87 : loss : 0.269258, lr_: 0.000099
[12:42:25.126] iteration 88 : loss : 0.265714, lr_: 0.000099
[12:42:25.336] iteration 89 : loss : 0.269185, lr_: 0.000099
[12:42:25.546] iteration 90 : loss : 0.255988, lr_: 0.000099
[12:42:25.754] iteration 91 : loss : 0.260813, lr_: 0.000099
[12:42:25.964] iteration 92 : loss : 0.277765, lr_: 0.000099
[12:42:26.174] iteration 93 : loss : 0.280998, lr_: 0.000099
[12:42:26.382] iteration 94 : loss : 0.292287, lr_: 0.000099
[12:42:26.592] iteration 95 : loss : 0.253642, lr_: 0.000099
[12:42:26.799] iteration 96 : loss : 0.279225, lr_: 0.000099
[12:42:27.006] iteration 97 : loss : 0.244270, lr_: 0.000099
[12:42:27.213] iteration 98 : loss : 0.252269, lr_: 0.000099
[12:42:27.421] iteration 99 : loss : 0.242589, lr_: 0.000099
[12:42:27.628] iteration 100 : loss : 0.224111, lr_: 0.000099
[12:42:27.863] iteration 101 : loss : 0.264784, lr_: 0.000099
[12:42:28.071] iteration 102 : loss : 0.241991, lr_: 0.000099
[12:42:28.278] iteration 103 : loss : 0.229138, lr_: 0.000099
[12:42:28.486] iteration 104 : loss : 0.230910, lr_: 0.000099
[12:42:28.693] iteration 105 : loss : 0.212788, lr_: 0.000099
[12:42:28.900] iteration 106 : loss : 0.218072, lr_: 0.000099
[12:42:29.107] iteration 107 : loss : 0.213264, lr_: 0.000099
[12:42:29.314] iteration 108 : loss : 0.205371, lr_: 0.000099
[12:42:29.521] iteration 109 : loss : 0.207216, lr_: 0.000099
[12:42:29.612] iteration 110 : loss : 0.202383, lr_: 0.000099
[12:42:29.658] 
Validation ===>
[12:42:35.232] avg_dsc: 0.607633
[12:42:36.000] iteration 111 : loss : 0.198438, lr_: 0.000099
[12:42:36.244] iteration 112 : loss : 0.184360, lr_: 0.000099
[12:42:36.454] iteration 113 : loss : 0.193035, lr_: 0.000099
[12:42:36.662] iteration 114 : loss : 0.200505, lr_: 0.000099
[12:42:36.869] iteration 115 : loss : 0.176399, lr_: 0.000099
[12:42:37.076] iteration 116 : loss : 0.175164, lr_: 0.000099
[12:42:37.283] iteration 117 : loss : 0.173069, lr_: 0.000099
[12:42:37.490] iteration 118 : loss : 0.166381, lr_: 0.000099
[12:42:37.697] iteration 119 : loss : 0.194481, lr_: 0.000099
[12:42:37.904] iteration 120 : loss : 0.147494, lr_: 0.000099
[12:42:38.139] iteration 121 : loss : 0.172524, lr_: 0.000099
[12:42:38.347] iteration 122 : loss : 0.165128, lr_: 0.000099
[12:42:38.555] iteration 123 : loss : 0.155416, lr_: 0.000099
[12:42:38.763] iteration 124 : loss : 0.135931, lr_: 0.000099
[12:42:38.972] iteration 125 : loss : 0.136115, lr_: 0.000099
[12:42:39.183] iteration 126 : loss : 0.132137, lr_: 0.000099
[12:42:39.390] iteration 127 : loss : 0.142139, lr_: 0.000099
[12:42:39.600] iteration 128 : loss : 0.124491, lr_: 0.000099
[12:42:39.808] iteration 129 : loss : 0.143946, lr_: 0.000099
[12:42:40.015] iteration 130 : loss : 0.134155, lr_: 0.000099
[12:42:40.222] iteration 131 : loss : 0.130571, lr_: 0.000099
[12:42:40.430] iteration 132 : loss : 0.129737, lr_: 0.000099
[12:42:40.637] iteration 133 : loss : 0.134862, lr_: 0.000099
[12:42:40.848] iteration 134 : loss : 0.151951, lr_: 0.000099
[12:42:41.057] iteration 135 : loss : 0.118727, lr_: 0.000099
[12:42:41.268] iteration 136 : loss : 0.116924, lr_: 0.000099
[12:42:41.476] iteration 137 : loss : 0.130085, lr_: 0.000099
[12:42:41.683] iteration 138 : loss : 0.147173, lr_: 0.000099
[12:42:41.892] iteration 139 : loss : 0.123649, lr_: 0.000098
[12:42:42.100] iteration 140 : loss : 0.105973, lr_: 0.000098
[12:42:42.333] iteration 141 : loss : 0.142144, lr_: 0.000098
[12:42:42.542] iteration 142 : loss : 0.128367, lr_: 0.000098
[12:42:42.749] iteration 143 : loss : 0.117424, lr_: 0.000098
[12:42:42.957] iteration 144 : loss : 0.141779, lr_: 0.000098
[12:42:43.168] iteration 145 : loss : 0.117794, lr_: 0.000098
[12:42:43.378] iteration 146 : loss : 0.106741, lr_: 0.000098
[12:42:43.585] iteration 147 : loss : 0.112635, lr_: 0.000098
[12:42:43.793] iteration 148 : loss : 0.098601, lr_: 0.000098
[12:42:43.999] iteration 149 : loss : 0.104811, lr_: 0.000098
[12:42:44.206] iteration 150 : loss : 0.116511, lr_: 0.000098
[12:42:44.414] iteration 151 : loss : 0.106249, lr_: 0.000098
[12:42:44.621] iteration 152 : loss : 0.095186, lr_: 0.000098
[12:42:44.828] iteration 153 : loss : 0.125371, lr_: 0.000098
[12:42:45.035] iteration 154 : loss : 0.098412, lr_: 0.000098
[12:42:45.243] iteration 155 : loss : 0.111840, lr_: 0.000098
[12:42:45.450] iteration 156 : loss : 0.099896, lr_: 0.000098
[12:42:45.657] iteration 157 : loss : 0.101409, lr_: 0.000098
[12:42:45.864] iteration 158 : loss : 0.095592, lr_: 0.000098
[12:42:46.073] iteration 159 : loss : 0.111761, lr_: 0.000098
[12:42:46.280] iteration 160 : loss : 0.088554, lr_: 0.000098
[12:42:46.521] iteration 161 : loss : 0.084416, lr_: 0.000098
[12:42:46.727] iteration 162 : loss : 0.086017, lr_: 0.000098
[12:42:46.935] iteration 163 : loss : 0.101880, lr_: 0.000098
[12:42:47.141] iteration 164 : loss : 0.097735, lr_: 0.000098
[12:42:47.232] iteration 165 : loss : 0.084420, lr_: 0.000098
[12:42:47.274] 
Validation ===>
[12:42:52.819] avg_dsc: 0.747325
[12:42:53.716] iteration 166 : loss : 0.095536, lr_: 0.000098
[12:42:53.925] iteration 167 : loss : 0.100084, lr_: 0.000098
[12:42:54.135] iteration 168 : loss : 0.097527, lr_: 0.000098
[12:42:54.342] iteration 169 : loss : 0.084907, lr_: 0.000098
[12:42:54.553] iteration 170 : loss : 0.082095, lr_: 0.000098
[12:42:54.770] iteration 171 : loss : 0.092320, lr_: 0.000098
[12:42:54.978] iteration 172 : loss : 0.100121, lr_: 0.000098
[12:42:55.188] iteration 173 : loss : 0.087148, lr_: 0.000098
[12:42:55.396] iteration 174 : loss : 0.079184, lr_: 0.000098
[12:42:55.604] iteration 175 : loss : 0.086158, lr_: 0.000098
[12:42:55.813] iteration 176 : loss : 0.091083, lr_: 0.000098
[12:42:56.022] iteration 177 : loss : 0.080829, lr_: 0.000098
[12:42:56.232] iteration 178 : loss : 0.088763, lr_: 0.000098
[12:42:56.439] iteration 179 : loss : 0.079336, lr_: 0.000098
[12:42:56.647] iteration 180 : loss : 0.096544, lr_: 0.000098
[12:42:56.891] iteration 181 : loss : 0.094867, lr_: 0.000098
[12:42:57.100] iteration 182 : loss : 0.098598, lr_: 0.000098
[12:42:57.310] iteration 183 : loss : 0.082972, lr_: 0.000098
[12:42:57.518] iteration 184 : loss : 0.079374, lr_: 0.000098
[12:42:57.726] iteration 185 : loss : 0.077864, lr_: 0.000098
[12:42:57.933] iteration 186 : loss : 0.085181, lr_: 0.000098
[12:42:58.142] iteration 187 : loss : 0.098458, lr_: 0.000098
[12:42:58.351] iteration 188 : loss : 0.078493, lr_: 0.000098
[12:42:58.559] iteration 189 : loss : 0.086747, lr_: 0.000098
[12:42:58.770] iteration 190 : loss : 0.071075, lr_: 0.000098
[12:42:58.978] iteration 191 : loss : 0.085179, lr_: 0.000098
[12:42:59.186] iteration 192 : loss : 0.091691, lr_: 0.000098
[12:42:59.393] iteration 193 : loss : 0.069001, lr_: 0.000098
[12:42:59.603] iteration 194 : loss : 0.087390, lr_: 0.000098
[12:42:59.810] iteration 195 : loss : 0.078428, lr_: 0.000098
[12:43:00.018] iteration 196 : loss : 0.071750, lr_: 0.000098
[12:43:00.228] iteration 197 : loss : 0.077241, lr_: 0.000098
[12:43:00.437] iteration 198 : loss : 0.088906, lr_: 0.000098
[12:43:00.644] iteration 199 : loss : 0.072358, lr_: 0.000098
[12:43:00.854] iteration 200 : loss : 0.076787, lr_: 0.000098
[12:43:01.094] iteration 201 : loss : 0.079774, lr_: 0.000098
[12:43:01.304] iteration 202 : loss : 0.087761, lr_: 0.000098
[12:43:01.515] iteration 203 : loss : 0.073844, lr_: 0.000098
[12:43:01.723] iteration 204 : loss : 0.089648, lr_: 0.000098
[12:43:01.931] iteration 205 : loss : 0.080103, lr_: 0.000098
[12:43:02.141] iteration 206 : loss : 0.068334, lr_: 0.000098
[12:43:02.349] iteration 207 : loss : 0.098258, lr_: 0.000098
[12:43:02.557] iteration 208 : loss : 0.109590, lr_: 0.000098
[12:43:02.766] iteration 209 : loss : 0.085329, lr_: 0.000098
[12:43:02.973] iteration 210 : loss : 0.069884, lr_: 0.000098
[12:43:03.180] iteration 211 : loss : 0.081174, lr_: 0.000098
[12:43:03.390] iteration 212 : loss : 0.081619, lr_: 0.000098
[12:43:03.598] iteration 213 : loss : 0.075978, lr_: 0.000098
[12:43:03.806] iteration 214 : loss : 0.086566, lr_: 0.000098
[12:43:04.014] iteration 215 : loss : 0.070284, lr_: 0.000098
[12:43:04.221] iteration 216 : loss : 0.083170, lr_: 0.000098
[12:43:04.428] iteration 217 : loss : 0.078958, lr_: 0.000098
[12:43:04.637] iteration 218 : loss : 0.096045, lr_: 0.000098
[12:43:04.844] iteration 219 : loss : 0.086027, lr_: 0.000098
[12:43:04.934] iteration 220 : loss : 0.072179, lr_: 0.000098
[12:43:05.006] 
Validation ===>
[12:43:10.485] avg_dsc: 0.731226
[12:43:11.330] iteration 221 : loss : 0.103962, lr_: 0.000098
[12:43:11.543] iteration 222 : loss : 0.080452, lr_: 0.000098
[12:43:11.751] iteration 223 : loss : 0.078370, lr_: 0.000098
[12:43:11.958] iteration 224 : loss : 0.094708, lr_: 0.000098
[12:43:12.164] iteration 225 : loss : 0.093832, lr_: 0.000098
[12:43:12.376] iteration 226 : loss : 0.073782, lr_: 0.000098
[12:43:12.583] iteration 227 : loss : 0.085492, lr_: 0.000098
[12:43:12.790] iteration 228 : loss : 0.066645, lr_: 0.000098
[12:43:12.997] iteration 229 : loss : 0.066706, lr_: 0.000098
[12:43:13.203] iteration 230 : loss : 0.070402, lr_: 0.000097
[12:43:13.410] iteration 231 : loss : 0.079835, lr_: 0.000097
[12:43:13.616] iteration 232 : loss : 0.073242, lr_: 0.000097
[12:43:13.823] iteration 233 : loss : 0.079313, lr_: 0.000097
[12:43:14.030] iteration 234 : loss : 0.062972, lr_: 0.000097
[12:43:14.241] iteration 235 : loss : 0.068000, lr_: 0.000097
[12:43:14.449] iteration 236 : loss : 0.070285, lr_: 0.000097
[12:43:14.658] iteration 237 : loss : 0.073696, lr_: 0.000097
[12:43:14.865] iteration 238 : loss : 0.077707, lr_: 0.000097
[12:43:15.072] iteration 239 : loss : 0.063971, lr_: 0.000097
[12:43:15.280] iteration 240 : loss : 0.062398, lr_: 0.000097
[12:43:15.513] iteration 241 : loss : 0.071934, lr_: 0.000097
[12:43:15.721] iteration 242 : loss : 0.066513, lr_: 0.000097
[12:43:15.927] iteration 243 : loss : 0.067898, lr_: 0.000097
[12:43:16.135] iteration 244 : loss : 0.078424, lr_: 0.000097
[12:43:16.343] iteration 245 : loss : 0.095778, lr_: 0.000097
[12:43:16.552] iteration 246 : loss : 0.072855, lr_: 0.000097
[12:43:16.759] iteration 247 : loss : 0.069016, lr_: 0.000097
[12:43:16.967] iteration 248 : loss : 0.073474, lr_: 0.000097
[12:43:17.175] iteration 249 : loss : 0.078847, lr_: 0.000097
[12:43:17.381] iteration 250 : loss : 0.073874, lr_: 0.000097
[12:43:17.589] iteration 251 : loss : 0.071127, lr_: 0.000097
[12:43:17.796] iteration 252 : loss : 0.065970, lr_: 0.000097
[12:43:18.003] iteration 253 : loss : 0.076668, lr_: 0.000097
[12:43:18.211] iteration 254 : loss : 0.074783, lr_: 0.000097
[12:43:18.422] iteration 255 : loss : 0.065314, lr_: 0.000097
[12:43:18.629] iteration 256 : loss : 0.066248, lr_: 0.000097
[12:43:18.838] iteration 257 : loss : 0.079485, lr_: 0.000097
[12:43:19.050] iteration 258 : loss : 0.065696, lr_: 0.000097
[12:43:19.258] iteration 259 : loss : 0.064800, lr_: 0.000097
[12:43:19.464] iteration 260 : loss : 0.080363, lr_: 0.000097
[12:43:19.697] iteration 261 : loss : 0.064155, lr_: 0.000097
[12:43:19.903] iteration 262 : loss : 0.061977, lr_: 0.000097
[12:43:20.109] iteration 263 : loss : 0.061410, lr_: 0.000097
[12:43:20.315] iteration 264 : loss : 0.062762, lr_: 0.000097
[12:43:20.521] iteration 265 : loss : 0.066164, lr_: 0.000097
[12:43:20.727] iteration 266 : loss : 0.071087, lr_: 0.000097
[12:43:20.933] iteration 267 : loss : 0.064589, lr_: 0.000097
[12:43:21.139] iteration 268 : loss : 0.055768, lr_: 0.000097
[12:43:21.345] iteration 269 : loss : 0.076034, lr_: 0.000097
[12:43:21.553] iteration 270 : loss : 0.059554, lr_: 0.000097
[12:43:21.759] iteration 271 : loss : 0.061560, lr_: 0.000097
[12:43:21.965] iteration 272 : loss : 0.067053, lr_: 0.000097
[12:43:22.171] iteration 273 : loss : 0.073672, lr_: 0.000097
[12:43:22.377] iteration 274 : loss : 0.083806, lr_: 0.000097
[12:43:22.466] iteration 275 : loss : 0.052802, lr_: 0.000097
[12:43:22.510] 
Validation ===>
[12:43:27.865] avg_dsc: 0.752128
[12:43:28.690] iteration 276 : loss : 0.069693, lr_: 0.000097
[12:43:28.899] iteration 277 : loss : 0.062108, lr_: 0.000097
[12:43:29.107] iteration 278 : loss : 0.057708, lr_: 0.000097
[12:43:29.315] iteration 279 : loss : 0.066622, lr_: 0.000097
[12:43:29.523] iteration 280 : loss : 0.059210, lr_: 0.000097
[12:43:29.770] iteration 281 : loss : 0.063884, lr_: 0.000097
[12:43:29.978] iteration 282 : loss : 0.062463, lr_: 0.000097
[12:43:30.186] iteration 283 : loss : 0.058774, lr_: 0.000097
[12:43:30.393] iteration 284 : loss : 0.061695, lr_: 0.000097
[12:43:30.601] iteration 285 : loss : 0.061695, lr_: 0.000097
[12:43:30.808] iteration 286 : loss : 0.055073, lr_: 0.000097
[12:43:31.015] iteration 287 : loss : 0.060819, lr_: 0.000097
[12:43:31.223] iteration 288 : loss : 0.053967, lr_: 0.000097
[12:43:31.432] iteration 289 : loss : 0.054967, lr_: 0.000097
[12:43:31.641] iteration 290 : loss : 0.060402, lr_: 0.000097
[12:43:31.849] iteration 291 : loss : 0.055709, lr_: 0.000097
[12:43:32.057] iteration 292 : loss : 0.064189, lr_: 0.000097
[12:43:32.264] iteration 293 : loss : 0.059180, lr_: 0.000097
[12:43:32.472] iteration 294 : loss : 0.056671, lr_: 0.000097
[12:43:32.681] iteration 295 : loss : 0.064474, lr_: 0.000097
[12:43:32.890] iteration 296 : loss : 0.060453, lr_: 0.000097
[12:43:33.098] iteration 297 : loss : 0.059644, lr_: 0.000097
[12:43:33.306] iteration 298 : loss : 0.064830, lr_: 0.000097
[12:43:33.514] iteration 299 : loss : 0.060174, lr_: 0.000097
[12:43:33.723] iteration 300 : loss : 0.058919, lr_: 0.000097
[12:43:33.965] iteration 301 : loss : 0.057012, lr_: 0.000097
[12:43:34.175] iteration 302 : loss : 0.057668, lr_: 0.000097
[12:43:34.382] iteration 303 : loss : 0.061897, lr_: 0.000097
[12:43:34.591] iteration 304 : loss : 0.056252, lr_: 0.000097
[12:43:34.799] iteration 305 : loss : 0.062007, lr_: 0.000097
[12:43:35.008] iteration 306 : loss : 0.059360, lr_: 0.000097
[12:43:35.216] iteration 307 : loss : 0.059224, lr_: 0.000097
[12:43:35.424] iteration 308 : loss : 0.061181, lr_: 0.000097
[12:43:35.633] iteration 309 : loss : 0.062637, lr_: 0.000097
[12:43:35.841] iteration 310 : loss : 0.054407, lr_: 0.000097
[12:43:36.049] iteration 311 : loss : 0.055355, lr_: 0.000097
[12:43:36.257] iteration 312 : loss : 0.058749, lr_: 0.000097
[12:43:36.467] iteration 313 : loss : 0.061880, lr_: 0.000097
[12:43:36.674] iteration 314 : loss : 0.061502, lr_: 0.000097
[12:43:36.882] iteration 315 : loss : 0.054571, lr_: 0.000097
[12:43:37.090] iteration 316 : loss : 0.062018, lr_: 0.000097
[12:43:37.297] iteration 317 : loss : 0.068539, lr_: 0.000097
[12:43:37.505] iteration 318 : loss : 0.058903, lr_: 0.000097
[12:43:37.712] iteration 319 : loss : 0.060841, lr_: 0.000097
[12:43:37.919] iteration 320 : loss : 0.051687, lr_: 0.000097
[12:43:38.158] iteration 321 : loss : 0.084809, lr_: 0.000097
[12:43:38.366] iteration 322 : loss : 0.055042, lr_: 0.000096
[12:43:38.573] iteration 323 : loss : 0.051062, lr_: 0.000096
[12:43:38.780] iteration 324 : loss : 0.055257, lr_: 0.000096
[12:43:38.987] iteration 325 : loss : 0.071056, lr_: 0.000096
[12:43:39.194] iteration 326 : loss : 0.076222, lr_: 0.000096
[12:43:39.402] iteration 327 : loss : 0.051896, lr_: 0.000096
[12:43:39.609] iteration 328 : loss : 0.082981, lr_: 0.000096
[12:43:39.816] iteration 329 : loss : 0.051365, lr_: 0.000096
[12:43:39.908] iteration 330 : loss : 0.055258, lr_: 0.000096
[12:43:39.957] 
Validation ===>
[12:43:45.672] avg_dsc: 0.771688
[12:43:46.569] iteration 331 : loss : 0.050060, lr_: 0.000096
[12:43:46.778] iteration 332 : loss : 0.053452, lr_: 0.000096
[12:43:46.987] iteration 333 : loss : 0.065464, lr_: 0.000096
[12:43:47.194] iteration 334 : loss : 0.060209, lr_: 0.000096
[12:43:47.402] iteration 335 : loss : 0.056649, lr_: 0.000096
[12:43:47.612] iteration 336 : loss : 0.053624, lr_: 0.000096
[12:43:47.820] iteration 337 : loss : 0.063770, lr_: 0.000096
[12:43:48.030] iteration 338 : loss : 0.049731, lr_: 0.000096
[12:43:48.237] iteration 339 : loss : 0.048554, lr_: 0.000096
[12:43:48.445] iteration 340 : loss : 0.048806, lr_: 0.000096
[12:43:48.685] iteration 341 : loss : 0.050333, lr_: 0.000096
[12:43:48.893] iteration 342 : loss : 0.063180, lr_: 0.000096
[12:43:49.100] iteration 343 : loss : 0.060593, lr_: 0.000096
[12:43:49.307] iteration 344 : loss : 0.052568, lr_: 0.000096
[12:43:49.515] iteration 345 : loss : 0.050060, lr_: 0.000096
[12:43:49.723] iteration 346 : loss : 0.056338, lr_: 0.000096
[12:43:49.931] iteration 347 : loss : 0.049468, lr_: 0.000096
[12:43:50.138] iteration 348 : loss : 0.064327, lr_: 0.000096
[12:43:50.347] iteration 349 : loss : 0.045595, lr_: 0.000096
[12:43:50.556] iteration 350 : loss : 0.044851, lr_: 0.000096
[12:43:50.763] iteration 351 : loss : 0.054019, lr_: 0.000096
[12:43:50.973] iteration 352 : loss : 0.075210, lr_: 0.000096
[12:43:51.182] iteration 353 : loss : 0.051992, lr_: 0.000096
[12:43:51.392] iteration 354 : loss : 0.055672, lr_: 0.000096
[12:43:51.602] iteration 355 : loss : 0.061507, lr_: 0.000096
[12:43:51.811] iteration 356 : loss : 0.057189, lr_: 0.000096
[12:43:52.023] iteration 357 : loss : 0.064193, lr_: 0.000096
[12:43:52.231] iteration 358 : loss : 0.048466, lr_: 0.000096
[12:43:52.439] iteration 359 : loss : 0.050437, lr_: 0.000096
[12:43:52.647] iteration 360 : loss : 0.047212, lr_: 0.000096
[12:43:52.894] iteration 361 : loss : 0.066157, lr_: 0.000096
[12:43:53.103] iteration 362 : loss : 0.069131, lr_: 0.000096
[12:43:53.311] iteration 363 : loss : 0.052845, lr_: 0.000096
[12:43:53.520] iteration 364 : loss : 0.045542, lr_: 0.000096
[12:43:53.733] iteration 365 : loss : 0.057107, lr_: 0.000096
[12:43:53.941] iteration 366 : loss : 0.050823, lr_: 0.000096
[12:43:54.150] iteration 367 : loss : 0.045198, lr_: 0.000096
[12:43:54.358] iteration 368 : loss : 0.045722, lr_: 0.000096
[12:43:54.566] iteration 369 : loss : 0.055001, lr_: 0.000096
[12:43:54.774] iteration 370 : loss : 0.052446, lr_: 0.000096
[12:43:54.981] iteration 371 : loss : 0.048453, lr_: 0.000096
[12:43:55.189] iteration 372 : loss : 0.051071, lr_: 0.000096
[12:43:55.396] iteration 373 : loss : 0.059584, lr_: 0.000096
[12:43:55.604] iteration 374 : loss : 0.060030, lr_: 0.000096
[12:43:55.811] iteration 375 : loss : 0.047093, lr_: 0.000096
